Colonia,Alcaldía,lat,lon,hospital_dist(km),pharmacy_dist(km),clinic_dist(km),dentist_dist(km),doctors_dist(km),convenience_dist(km),supermarket_dist(km),butcher_dist(km),marketplace_dist(km),greengrocer_dist(km),mall_dist(km),school_dist(km),university_dist(km),kindergarten_dist(km),bank_dist(km),atm_dist(km),target
TETELPAN (PBLO),ALVARO OBREGON,19.34321252,-99.22564928,2.033327061547461,0.7087998347648076,3.4619021796091065,1.4525089215471307,2.605377107764117,0.6990313978391872,0.7007439941822519,4.596255063773532,1.9405672569017505,1.277465016155896,1.876719915848092,0.7725070017694852,3.2418889012087604,1.9028831840211464,0.6674068105502238,0.707515729637537,24070.6
TETELPAN,ALVARO OBREGON,19.341584059,-99.233499393,2.4169571741537474,0.5852605053799766,3.4028190788084443,0.6519424608770417,3.403217131664944,0.6393016709054432,0.8729477468432458,4.075880598406862,2.209868940973776,0.4436246345217712,1.034595799630705,1.2758950089647516,3.38105737331602,2.0643899124255216,0.5482558310192787,1.3063922338754483,36705.031746032
TESMIC (RDCIAL),XOCHIMILCO,19.242834189,-99.105947003,1.2709157669121258,1.5444879145946886,6.560760282914851,3.1559406989092134,6.144522467630999,1.5627437698137,2.088763586533659,6.2094446118218505,1.5326332826213884,3.0547595056403494,12.840970953340763,0.9357700455664278,7.623282190612186,3.2086097559418345,2.4058403302603826,3.661558326022029,3294.0
TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.483475114,-99.121869635,0.8288019750386839,0.1950738324697564,0.0747185091895524,0.0848987732498026,0.8710240492398047,0.1206459068335423,0.3239112372312865,2.42073619953735,0.74929144137434,1.4586652012777297,4.604237939159235,0.0524225286190937,6.152982991154188,0.1519138161215082,0.2920536655799147,0.8112659844082839,17582.5
TEPETONGO,CUAJIMALPA DE MORELOS,19.351423091,-99.268067903,2.534664977678454,0.9226843492617396,1.7466373443295788,3.123602897720632,2.4087500189357693,1.0740369750983876,0.8772358321260568,4.132684869829837,3.135189665517923,3.481690064981726,2.4703920981535936,0.560596660330113,0.8132745679127226,2.025791711399671,0.9824651404414058,1.474087014511472,33883.0
TEPEPAN (AMPL),XOCHIMILCO,19.262756602,-99.133353829,0.8773027560322119,1.133940420955213,3.643482720816624,1.3866678052048058,3.4094165554257385,0.4359191494102141,0.4935342773859293,3.4693431929710625,2.6295602919734127,0.6973238230724474,9.958392229507968,0.7835829909184995,3.996264903694082,1.6054963841067418,1.3355969440505897,0.9694676983834932,34636.0
TEPALCATES II,IZTAPALAPA,19.392620521,-99.057338117,4.065532274001877,0.4482330073018536,3.2459155133304125,3.6685645349089935,3.652480442184713,0.3685315486981806,0.7092930992454952,3.7818854257738703,1.1141880636181831,3.856841912854565,3.680982025931326,0.6792317308091401,3.589857847249172,0.8243311445715619,0.4231184147097919,3.969054612991535,15654.0
TENORIOS INFONAVIT 1 Y 2 (U HAB),TLALPAN,19.29699775,-99.117196296,1.407591670292496,0.5853876247610759,1.7320092131347518,0.8964024280722748,1.3990519833678166,0.4509179666560501,0.9348850942436792,1.4009123949958184,1.80458979057032,3.737161866845978,6.850092143840543,0.4284921796521118,3.046557220808178,0.6504794173777285,0.8091519869593179,3.218349718643428,8594.0
TAXQUEA,COYOACAN,19.338662056,-99.123439585,2.329513323631298,1.1394945103316567,1.734387830717684,1.6378133609521677,0.2204454972389849,0.5763225539114496,1.4266126404718171,1.7046386078111917,0.2689934694086079,1.6246898491607835,2.9487927300530465,0.2122618342982334,1.8494281273063256,1.6380867619567134,0.6246426436378548,2.555446944997373,34375.0
TACUBAYA,MIGUEL HIDALGO,19.401314303,-99.188454192,1.0819118066300408,0.7564268057338419,1.1420225425661252,1.0153594888416415,0.8044501440515315,0.0865770161340765,1.1166305370824616,1.581007989083511,0.1809507178346958,2.426098583984585,3.518798115772213,1.05202411420813,3.41267829271802,1.2485720163370029,1.3962874465529171,0.9422107663475252,42662.0
TACUBA,MIGUEL HIDALGO,19.45739273,-99.187393723,0.739960040214257,0.2735846942454963,1.0909508306760072,1.147683298145742,2.407377955280682,1.0322149160266123,0.0972587157080858,2.942494057108722,0.2607879780472739,1.1115367875218205,2.640833365804612,0.7200591694009957,3.805970148856678,2.066007088314729,0.9330033439883386,1.7567765581311483,32357.304347826
TABLAS DE SAN AGUSTIN,GUSTAVO A. MADERO,19.464561971,-99.112625657,1.3900782762499024,0.1501924993118932,1.5650897062881362,1.1966457509964463,1.784042031621265,0.4363829370716579,0.57786497147995,0.7999141165265532,1.1384924429775245,0.8006086462378967,2.95584493782813,0.4109051840143474,5.725802169983735,1.9037506861792892,0.111890479897698,0.7970252629540553,32000.75
TABACALERA,CUAUHTEMOC,19.434679904,-99.153579286,0.4650665580563851,0.5776579888163653,0.4959842773031934,3.0312820395808293,1.5504339375080387,0.1923920920370409,0.5635974751022929,2.847551983317122,2.039317745580168,1.980479542502365,2.602128362998843,0.4561826958449083,0.5624057132197494,0.7964890776681446,0.1136912505530752,0.4778658759292141,61536.04
STA MARTHA ACATITLA NTE (AMPL) I,IZTAPALAPA,19.378838512,-99.019409192,1.348522555044863,1.4330481022161392,1.8945000030043064,2.934907324981761,2.7669434790723377,1.8155931570378323,1.4067494367476086,3.736903988485153,3.279053563771526,7.467918161751018,3.5165391551136933,1.2405791343609696,2.9695915977316703,3.422208269923562,1.0773116885695806,2.8045670494577277,16176.0
STA CRUZ ATOYAC,BENITO JUAREZ,19.367285383,-99.15978308,0.5070330952649786,0.6922660457849067,1.033521877868835,0.7200580113067818,0.8050309918066868,0.6065207346470821,0.7886156642184231,1.0309603243169647,1.438774945921221,1.2912706918373345,2.161304556527698,0.0729163276391474,0.9830912727852282,0.5938254122414657,0.3786276648846706,0.8782258808112436,45917.669902913
