Colonia,Alcaldía,lat,lon,hospital_near,hospital_dist(km),pharmacy_near,pharmacy_dist(km),clinic_near,clinic_dist(km),dentist_near,dentist_dist(km),doctors_near,doctors_dist(km),convenience_near,convenience_dist(km),supermarket_near,supermarket_dist(km),butcher_near,butcher_dist(km),marketplace_near,marketplace_dist(km),greengrocer_near,greengrocer_dist(km),mall_near,mall_dist(km),school_near,school_dist(km),university_near,university_dist(km),kindergarten_near,kindergarten_dist(km),bank_near,bank_dist(km),atm_near,atm_dist(km),target
TRES ESTRELLAS,GUSTAVO A. MADERO,19.4724773,-99.110715241,102,1.373768481710234,430,0.5495474971687593,29,1.5608013977929818,45,0.5289907494451959,76,1.600875648857301,1278,0.1660225450488797,364,0.4162807208330825,56,0.7288919456825738,21,1.3214067729504773,43,0.7527864278104566,12,3.811410499672962,349,0.6033808416231282,6,6.402264962234355,47,1.8363469153860021,597,0.3734195666361675,7,0.670017897371923,12462.0
TRABAJADORES DEL HIERRO,AZCAPOTZALCO,19.47857504,-99.151216256,61,1.7060018975835456,387,0.34058680797085045,24,0.47868148523959597,25,2.5447812730407855,3,2.3893258876008576,792,0.3351307611953764,231,0.36574797192951686,0,2.4935038591709437,35,0.3952924790126043,1,2.9065292115118155,12,4.667951560504981,410,0.05077839614874421,6,4.724087426977085,50,0.784984285963932,703,1.1110600189421025,109,2.2544760289689,23773.5
TORRES TOREO,MIGUEL HIDALGO,19.458485868,-99.211698013,89,0.9970771523486183,221,0.6895316839337075,2,1.4823302689080704,52,2.725676221906177,68,2.736795536892684,905,0.9778012817424412,200,0.43247229433796835,10,3.466242190787151,70,2.097441751983087,2,3.3229700976791365,3,1.0618347328891025,240,0.6445086688285062,5,4.377841998341515,16,2.8157679906547934,678,1.1068605423637765,14,1.547844558755886,18151.0
TORRES SAN PEDRO (U HAB),ALVARO OBREGON,19.391628255,-99.193038057,141,0.6084506800677464,141,0.48488867000538105,7,1.9263559282137313,73,1.4580133855682023,63,1.4199120801896863,899,0.81476652441466,354,0.6390425602788619,66,1.2369131958391177,37,0.969051959569043,13,1.3935914248108892,25,3.63145253222409,314,0.5178727270461887,66,3.4332031360255244,71,1.3991404244046632,689,0.3755082155368485,58,0.768537580466561,26154.0
TORRES LINDAVISTA (FRACC),GUSTAVO A. MADERO,19.511128544,-99.142788093,32,0.6274451512445318,277,0.24755004375476614,41,0.4757625272431157,85,0.7432543048393914,81,0.8836873738095276,1397,0.24696615725353455,438,0.6948398076642677,94,0.8546190430503837,60,2.966234936630592,64,0.766928759762117,9,7.363229058566748,509,0.49857156624727555,74,5.9259016160277005,44,1.8162406569041778,717,0.614070153619705,106,0.7845291949606793,65102.0
TORRES DE POTRERO,ALVARO OBREGON,19.329655783,-99.250997704,43,1.6957587716369142,432,1.355477624102071,78,4.291686660659623,62,1.6155341636454148,82,5.3028931093997524,1034,1.5107879696215432,212,0.5124832868301165,6,2.5010617530272907,12,4.241483481412902,37,1.8278438937911197,13,1.3338855676307984,437,0.6348114109833456,13,3.4419415173977757,19,2.1815717587916725,666,1.3405960755586654,54,3.2250460805202503,37462.578947368
TORRES DE PADIERNA,TLALPAN,19.281296732,-99.228197172,91,1.0418870050826292,59,1.123724168410498,68,1.1131429673936295,57,1.4127624585545349,14,6.326668375458357,804,0.4807212907192655,192,1.2985884124584797,28,0.6142098080266796,76,6.809069560069771,6,3.5343055108220347,7,2.7908371463374553,303,1.2591319984737195,12,3.4469834349949733,10,3.177404182111512,23,3.3627355853584513,108,5.566364780234597,23000.0
TORRES DE MIXCOAC (U HAB),ALVARO OBREGON,19.371393107,-99.192949435,14,0.7829893217173394,484,0.4925520273133562,10,2.8136714216089915,64,0.4957253453618591,65,1.6556930463467947,1021,0.6300747202643057,22,0.8130921122665528,66,2.2494201948482675,24,2.0775369581453322,21,0.7394126689408261,25,1.44493393986695,73,0.3408977809915618,1,2.0241085896492774,71,2.612157149451511,455,0.5270877427945225,83,0.9040181127805188,32600.0
TORRE BLANCA,MIGUEL HIDALGO,19.458193552,-99.193790789,89,0.9702467262110361,222,0.34615759497396503,2,0.8128766817542079,66,1.8240555465559827,44,2.31624590528671,562,0.6401918347055042,31,0.23408325892173193,10,3.066156549986626,70,0.42088816171849325,2,1.569091466305827,4,2.6535474763336833,93,0.34862954947455044,6,4.4062905154165914,15,2.170310847219765,144,0.655720109031815,42,1.583258189841394,30528.0
TORIELLO GUERRA,TLALPAN,19.296465108,-99.166480202,135,0.543790996533141,244,0.7762934855936259,39,0.7646369630911664,10,1.4411300635561188,2,0.5333681596444989,473,0.5034213610322494,203,0.9988420749810132,3,1.4422719323160555,71,1.7220280625327458,4,1.4177137316193014,5,5.257489006510953,433,0.6728514158756281,15,0.824919494879617,35,1.1227546649751363,177,0.7964966635542302,75,0.9170578375746758,41623.857142857
TLAZINTLA,IZTACALCO,19.39608315,-99.111902608,21,0.769611658461056,292,0.9701904262029755,64,1.8794599617445258,28,1.034810200592946,17,2.0134729746330504,91,1.316633440614353,315,0.634394914626033,59,0.32469955487773383,53,1.7040976606163671,15,3.3685523496217042,1,4.872309114215828,231,1.0102132297823219,16,2.1534735502222797,60,3.2342966487786917,60,0.27778924756769835,91,1.5317988391258137,15000.0
TLATILCO,AZCAPOTZALCO,19.460874131,-99.162446167,61,1.2658337270934918,267,0.7020504780765231,27,1.4132205592932052,66,1.5570544545482017,47,0.2468238131207996,336,0.7760591745344024,222,0.5597219410857381,0,2.5950500143831605,33,1.0182714014860055,19,1.2274237244938606,19,4.022726486834546,43,0.6715344153352133,6,2.724693615890293,39,1.4788454963886029,207,0.6739410399353017,3,0.744253209233442,22813.0
TLALPAN CENTRO,TLALPAN,19.287793024,-99.172381927,135,1.5639865855634314,38,0.47591735948358327,39,1.1977289107026512,43,0.7649531031444191,67,1.1553969837355338,15,0.44079114469247893,328,0.9688745932721767,4,0.7201723969837875,71,2.624751989906085,4,0.7509496864813943,5,5.226766923486442,433,1.3544994980561866,15,0.40193335943260056,59,0.7658591051128623,136,0.4839905444393458,108,0.9164455907126613,33123.125
TLALCOLIGIA,TLALPAN,19.276078256,-99.171326456,73,1.6268124271382935,128,0.462396817248605,23,1.8849488032051969,43,1.768591268853756,67,0.5966426999105039,341,0.5147841413958274,204,0.10508740638155278,5,1.4704528833195671,71,3.9233726743092023,32,1.7728223763723474,5,6.182986681745296,433,2.215610392106482,8,0.9982426535695499,59,1.757323452711473,365,0.44984772276720947,108,2.160334715401833,29738.5
TLACOYAQUE (AMPL),ALVARO OBREGON,19.32208927,-99.268236734,72,0.9026891443711318,105,2.4521333219614347,73,4.19379293542437,2,2.6318449787263574,82,4.909878961673712,898,2.877801849259334,211,0.5489336345035926,6,2.7183180496048793,68,4.390829591637175,7,2.4589262925998967,13,3.248083303140086,171,1.2919593041157635,77,4.024919601072591,19,2.431647470726414,666,3.251331096336199,93,4.346349596238687,28312.0
TLACOQUEMECATL DEL VALLE,BENITO JUAREZ,19.376453174,-99.174780796,13,1.1690616499105748,473,0.10695057161602561,61,1.3024393467197803,65,0.8102111493318809,65,0.3318533114456299,371,0.08370019006621314,326,0.4151653875329428,66,1.5335841135136423,26,0.45208329145820114,30,0.7838235748124734,25,3.094257216417464,23,0.98565901897527,66,0.9074870060085428,71,1.7282723859927114,32,0.30451774377129703,41,1.1679314435471215,43962.220338983
TLACOPAC,ALVARO OBREGON,19.354639483,-99.195121997,0,1.6639897313376446,14,0.9773316228226727,10,3.8035787226835174,64,2.33871096803241,78,1.8060969695563447,1026,0.5495965031568717,22,1.2960896151576482,20,3.7019232552655486,75,2.0534294874319388,21,2.6085299414101977,25,0.6013970507841833,357,1.1140923295359448,1,1.9676621268421672,12,3.69735628361718,26,0.5559365852506439,84,0.8511089906276184,53340.6
TLACAMACA,GUSTAVO A. MADERO,19.474256613,-99.136937993,98,1.0683276558914165,310,0.7353095735691128,24,1.5329034573967741,25,1.3468006102142218,76,1.231412321751893,128,0.35490605041720225,242,0.2294122222364987,56,3.341945981244079,64,0.5583757167570089,1,1.3345802169936818,12,3.6399230826385622,324,0.14176201771209493,6,4.7543589095825745,8,0.8640176962174897,77,0.7130408354698378,9,1.724020573467747,34104.666666667
TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.337030852,-99.201027136,5,0.04696777515322887,521,1.2538458162121375,32,4.702928962848714,62,3.906741482395388,78,0.266288288174906,1143,0.35919690486161304,0,0.30223325839366105,20,4.269473639966304,75,0.06344102917810043,35,3.7315133301263046,0,0.8746649053087465,275,0.24536656980597848,60,0.6495765629492313,12,3.953428692664316,22,0.3259079238556894,68,0.7170393792095777,44620.111111111
TIZAMPAMPANO,ALVARO OBREGON,19.341945066,-99.220781876,5,2.1617566672984814,485,0.5259442989765256,84,3.81659660877283,62,1.8898959066639975,78,2.07939744323855,520,0.46738120545998935,404,0.32471608022019405,6,4.756993477596542,76,1.882368938600746,37,1.746308385879589,13,2.3502470178899286,133,0.35578608512472426,60,2.715119428999228,12,2.2094394400273636,449,0.8893278292129962,103,0.34748320356150814,33061.666666667
TIERRA NUEVA,CUAUHTEMOC,19.415400391,-99.171455609,50,0.31120234686814446,45,0.4932332512868862,74,0.4390787067551234,48,1.0240583946463269,26,1.4422667758694232,837,0.12733625220743508,67,0.44479587812716004,47,1.2164817500002538,78,2.2647491193061464,22,0.9458098805664357,1,1.7380720016141944,331,0.11994643631829224,17,1.2322000687254446,25,0.6665894363108156,158,0.4032273400578061,17,0.47193139552722213,30329.75
TEZOZOMOC,AZCAPOTZALCO,19.489894304,-99.198820442,34,0.9469157356568515,306,0.3206236577600373,57,2.2106497802329943,18,0.9754243593560508,6,1.8353300381777466,1028,1.1259800325060003,337,1.5097942427029547,1,2.6248070401648067,22,1.5910036098917553,2,3.3282236565493637,3,4.705385713771536,160,0.20465158675611844,5,4.959114117101559,16,1.7283488481732712,145,1.5080381620923808,42,2.050592329667783,22946.5
TETELPAN (PBLO),ALVARO OBREGON,19.34321252,-99.22564928,158,2.0333270615474612,28,0.7087998347648076,84,3.4619021796091065,62,1.4525089215471307,78,2.6053771077641166,520,0.6990313978391872,39,0.7007439941822519,6,4.596255063773532,12,1.9405672569017502,37,1.277465016155896,13,1.876719915848092,133,0.7725070017694852,60,3.2418889012087604,12,1.9028831840211464,73,0.6674068105502238,54,0.707515729637537,24070.6
TETELPAN,ALVARO OBREGON,19.341584059,-99.233499393,158,2.4169571741537474,486,0.5852605053799766,84,3.4028190788084443,62,0.6519424608770417,78,3.4032171316649436,386,0.6393016709054432,39,0.8729477468432458,6,4.075880598406862,12,2.209868940973776,37,0.4436246345217712,13,1.034595799630705,395,1.2758950089647516,13,3.38105737331602,12,2.0643899124255216,671,0.5482558310192787,54,1.3063922338754483,36705.031746032
